,Unnamed: 0,Solvent,Solute,COSMO_RS,UNIFAC,mod_UNIFAC_Ly,mod_UNIFAC_Do,Abraham,HSP,Hildebrand,MOSCED,Literature,Ref,Solvent_SMILES,Solute_SMILES,key_ID,solute_idx,solvent_idx,log_gamma_exp,solute_smiles,solvent_smiles,DDB Solute,DDB Solvent,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30,Ensemble_-1
10,10,"1,1,2,2-tetrachloroethane",2-methyl-2-butene,0.336472237,0.672944473,0.683096845,0.774727168,,0.405465108,0.806475866,,0.593326845,[47] ,ClC(Cl)C(Cl)Cl,CC=C(C)C,ClC(Cl)C(Cl)Cl CC=C(C)C,3,1,0.593326845,CC=C(C)C,ClC(Cl)C(Cl)Cl,3,1,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
11,11,"1,1,2,2-tetrachloroethane","2-methyl-1,3-butadiene",0.223143551,0.285178942,0.31481074,0.31481074,,,,,0.343589704,[47] ,ClC(Cl)C(Cl)Cl,CC(=C)C=C,ClC(Cl)C(Cl)Cl CC(=C)C=C,4,1,0.343589704,CC(=C)C=C,ClC(Cl)C(Cl)Cl,4,1,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train
12,12,"1,1,2,2-tetrachloroethane",Acetone,-1.660731207,-0.84397007,-0.776528789,-1.049822124,,0.029558802,-0.301105093,,-1.049822124,[50] ,ClC(Cl)C(Cl)Cl,CC(C)=O,ClC(Cl)C(Cl)Cl CC(C)=O,7,1,-1.049822124,CC(C)=O,ClC(Cl)C(Cl)Cl,7,1,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Test
13,13,"1,12-dicyanododecane",Benzene,,-0.400477567,-0.210721031,-0.15082289,,,,,0.09531018,[51] ,N#CCCCCCCCCCCCCC#N,c1ccccc1,N#CCCCCCCCCCCCCC#N c1ccccc1,2,2,0.09531018,c1ccccc1,N#CCCCCCCCCCCCCC#N,2,2,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
14,14,"1,12-dicyanododecane",Toluene,,-0.127833372,0.0,-0.040821995,,,,,0.09531018,[51] ,N#CCCCCCCCCCCCCC#N,Cc1ccccc1,N#CCCCCCCCCCCCCC#N Cc1ccccc1,8,2,0.09531018,Cc1ccccc1,N#CCCCCCCCCCCCCC#N,8,2,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
15,15,"1,12-dicyanododecane",ethylbenzene,,0.067658648,0.139761942,0.300104592,,,,,0.405465108,[51] ,N#CCCCCCCCCCCCCC#N,CCc1ccccc1,N#CCCCCCCCCCCCCC#N CCc1ccccc1,9,2,0.405465108,CCc1ccccc1,N#CCCCCCCCCCCCCC#N,9,2,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
16,16,"1,2-dibromoethane",Benzene,-0.46203546,-0.020202707,-0.105360516,0.048790164,,0.139761942,0.0,,0.5040884375,"['[52] ', '[53] ']",BrCCBr,c1ccccc1,BrCCBr c1ccccc1,2,3,0.5040884375,c1ccccc1,BrCCBr,2,3,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Test
17,17,"1,2-dibromoethane",Toluene,-0.274436846,1.238374231,1.153731588,-0.127833372,,0.139761942,0.09531018,,0.488580015,[53] ,BrCCBr,Cc1ccccc1,BrCCBr Cc1ccccc1,8,3,0.488580015,Cc1ccccc1,BrCCBr,8,3,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
18,18,"1,2-dichloroethane",n-Pentane,1.335001067,0.951657876,0.924258902,1.137833002,1.444563269,0.947789399,1.147402453,1.532556868,1.504077397,[54] ,ClCCCl,CCCCC,ClCCCl CCCCC,5,4,1.504077397,CCCCC,ClCCCl,5,4,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Test
19,19,"1,2-dichloroethane",n-Hexane,1.490654376,1.091923301,1.075002423,1.264126727,1.570697084,1.00063188,1.011600912,1.583093937,1.4968833496666667,"['[54] ', '[55] ', '[56] ']",ClCCCl,CCCCCC,ClCCCl CCCCCC,0,4,1.4968833496666667,CCCCCC,ClCCCl,0,4,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
20,20,"1,2-dichloroethane",Cyclohexane,1.266947603,0.90825856,0.904218151,1.153731588,1.160020917,0.457424847,0.385262401,1.244154594,1.418819416,"['[54] ', '[56] ']",ClCCCl,C1CCCCC1,ClCCCl C1CCCCC1,1,4,1.418819416,C1CCCCC1,ClCCCl,1,4,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train
21,21,"1,2-dichloroethane",2-methylpentane,1.439835128,1.091923301,1.071583616,1.264126727,1.593308531,,,1.69744879,1.631199404,[54] ,ClCCCl,CCCC(C)C,ClCCCl CCCC(C)C,10,4,1.631199404,CCCC(C)C,ClCCCl,10,4,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train
22,22,"1,2-dichloroethane",n-Heptane,1.640936579,1.214912744,1.214912744,1.388791241,1.688249093,1.040276712,0.88376754,1.658228077,1.757857918,[54] ,ClCCCl,CCCCCCC,ClCCCl CCCCCCC,11,4,1.757857918,CCCCCCC,ClCCCl,11,4,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
23,23,"1,2-dichloroethane","2,4-dimethylpentane",1.526056303,1.211940974,1.211940974,1.388791241,1.701105101,,,1.876406943,1.729884066,[54] ,ClCCCl,CC(C)CC(C)C,ClCCCl CC(C)CC(C)C,12,4,1.729884066,CC(C)CC(C)C,ClCCCl,12,4,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
24,24,"1,2-dichloroethane",n-Octane,1.781709133,1.32175584,1.348073148,1.512927012,1.853168097,1.115141591,0.824175443,1.735189118,1.860974538,[54] ,ClCCCl,CCCCCCCC,ClCCCl CCCCCCCC,13,4,1.860974538,CCCCCCCC,ClCCCl,13,4,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Test
25,25,"1,2-dichloroethane","2,3,4-trimethylpentane",1.581038438,1.316408234,1.345472367,1.512927012,1.553925203,,,,1.72455072,[54] ,ClCCCl,CC(C)C(C)C(C)C,ClCCCl CC(C)C(C)C(C)C,14,4,1.72455072,CC(C)C(C)C(C)C,ClCCCl,14,4,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train
26,26,"1,2-dichloroethane","2,5-dimethylhexane",1.693779061,1.319085611,1.345472367,1.512927012,,,,,1.818076778,[54] ,ClCCCl,CC(C)CCC(C)C,ClCCCl CC(C)CCC(C)C,15,4,1.818076778,CC(C)CCC(C)C,ClCCCl,15,4,Valid,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Test
27,27,"1,2-dichloroethane",ethylcyclohexane,1.532556868,1.16938136,1.187843422,1.360976553,,,,1.528227857,1.597365331,[54] ,ClCCCl,CCC1CCCCC1,ClCCCl CCC1CCCCC1,16,4,1.597365331,CCC1CCCCC1,ClCCCl,16,4,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
28,28,"1,2-dichloroethane",n-Nonane,1.91839212,1.413423029,1.477048724,1.633154439,2.098017927,1.184789985,0.770108222,1.805004696,1.968509981,[54] ,ClCCCl,CCCCCCCCC,ClCCCl CCCCCCCCC,17,4,1.968509981,CCCCCCCCC,ClCCCl,17,4,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Test
29,29,"1,2-dichloroethane",Benzene,0.364643114,-0.510825624,-0.527632742,-0.287682072,0.029558802,0.157003749,0.0,0.104360015,0.182321557,[56] ,ClCCCl,c1ccccc1,ClCCCl c1ccccc1,2,4,0.182321557,c1ccccc1,ClCCCl,2,4,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Test
30,30,"1,2-dicyanoethane",n-Hexane,5.736410994,3.601686242,3.632838063,5.776072128,,,,,5.913503006,[47] ,N#CCCC#N,CCCCCC,N#CCCC#N CCCCCC,0,5,5.913503006,CCCCCC,N#CCCC#N,0,5,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train
31,31,"1,2-dicyanoethane",Cyclohexane,4.904014726,3.093766014,3.061988069,5.532954612,,,,,4.882801923,[47] ,N#CCCC#N,C1CCCCC1,N#CCCC#N C1CCCCC1,1,5,4.882801923,C1CCCCC1,N#CCCC#N,1,5,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
32,32,"1,2-dicyanoethane",Benzene,2.367436065,1.153731588,1.036736885,1.954445052,,,,,2.028148247,[47] ,N#CCCC#N,c1ccccc1,N#CCCC#N c1ccccc1,2,5,2.028148247,c1ccccc1,N#CCCC#N,2,5,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
33,33,"1,2-dicyanoethane",2-methyl-2-butene,3.781458635,2.703372612,2.693274916,4.342765921,,,,,3.80666249,[47] ,N#CCCC#N,CC=C(C)C,N#CCCC#N CC=C(C)C,3,5,3.80666249,CC=C(C)C,N#CCCC#N,3,5,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
34,34,"1,2-dicyanoethane","2-methyl-1,3-butadiene",2.79971739,1.722766598,1.722766598,2.416806237,,,,,2.975529566,[47] ,N#CCCC#N,CC(=C)C=C,N#CCCC#N CC(=C)C=C,4,5,2.975529566,CC(=C)C=C,N#CCCC#N,4,5,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Valid,Train,Valid,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train
35,35,"1,2-diethoxyethane",Cyclohexane,0.530628251,0.512823626,0.463734016,0.322083499,,,,,0.672944473,[57] ,CCOCCOCC,C1CCCCC1,CCOCCOCC C1CCCCC1,1,6,0.672944473,C1CCCCC1,CCOCCOCC,1,6,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
36,36,"1,2-diethoxymethane",Cyclohexane,0.530628251,0.672944473,0.598836501,0.425267735,,,,,0.457424847,[57] ,CCOCOCC,C1CCCCC1,CCOCOCC C1CCCCC1,1,7,0.457424847,C1CCCCC1,CCOCOCC,1,7,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train
37,37,"1,2-dimethoxyethane",Cyclohexane,,1.483874689,1.383791231,0.867100488,,0.322083499,-0.162518929,,1.223775432,[57] ,COCCOC,C1CCCCC1,COCCOC C1CCCCC1,1,8,1.223775432,C1CCCCC1,COCCOC,1,8,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,None
38,38,"1,3-dichloropropane",n-Hexane,1.383791231,1.036736885,1.050821625,1.539015448,,0.90825856,1.101940079,,0.78845736,[55] ,ClCCCCl,CCCCCC,ClCCCCl CCCCCC,0,9,0.78845736,CCCCCC,ClCCCCl,0,9,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Test
39,39,"1,3-dichloropropane",Acetone,0.494696242,0.009950331,0.009950331,-0.287682072,,0.0,-0.248461359,,0.067658648,[55] ,ClCCCCl,CC(C)=O,ClCCCCl CC(C)=O,7,9,0.067658648,CC(C)=O,ClCCCCl,7,9,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Test
40,40,"1,3-dicyanopropane",n-Hexane,4.982098636,2.946016681,2.950734908,4.571509984,,3.154443965,4.954488133,4.379272846,4.616110126,[47] ,N#CCCCC#N,CCCCCC,N#CCCCC#N CCCCCC,0,10,4.616110126,CCCCCC,N#CCCCC#N,0,10,Train,Valid,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train
41,41,"1,3-dicyanopropane",Cyclohexane,4.233236561,2.512846018,2.48240352,4.304065093,,2.348514025,3.375537635,3.76026945,3.925925911,[47] ,N#CCCCC#N,C1CCCCC1,N#CCCCC#N C1CCCCC1,1,10,3.925925911,C1CCCCC1,N#CCCCC#N,1,10,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train
42,42,"1,3-dicyanopropane",Benzene,1.865629318,0.810930216,0.727548607,1.373715579,,1.738710248,2.180417459,1.327075001,1.46270855,"['[51] ', '[47] ']",N#CCCCC#N,c1ccccc1,N#CCCCC#N c1ccccc1,2,10,1.46270855,c1ccccc1,N#CCCCC#N,2,10,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train
43,43,"1,3-dicyanopropane",Toluene,2.451866796,1.160020917,1.05431203,1.710187816,,1.835776355,2.437115986,1.829376333,1.648658626,[51] ,N#CCCCC#N,Cc1ccccc1,N#CCCCC#N Cc1ccccc1,8,10,1.648658626,Cc1ccccc1,N#CCCCC#N,8,10,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train
44,44,"1,3-dicyanopropane",ethylbenzene,3.007660844,1.595338988,1.492904096,2.574137784,,2.419478844,2.659559992,2.272125886,2.116255515,[51] ,N#CCCCC#N,CCc1ccccc1,N#CCCCC#N CCc1ccccc1,9,10,2.116255515,CCc1ccccc1,N#CCCCC#N,9,10,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
45,45,"1,3-dicyanopropane",2-methyl-2-butene,3.212455257,2.162172939,2.143589362,3.375537635,,1.91102289,4.863217453,,3.206803244,[47] ,N#CCCCC#N,CC=C(C)C,N#CCCCC#N CC=C(C)C,3,10,3.206803244,CC=C(C)C,N#CCCCC#N,3,10,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
46,46,"1,3-dicyanopropane","2-methyl-1,3-butadiene",2.366498419,1.30833282,1.32175584,1.750937475,,,,,2.388762789,[47] ,N#CCCCC#N,CC(=C)C=C,N#CCCCC#N CC(=C)C=C,4,10,2.388762789,CC(=C)C=C,N#CCCCC#N,4,10,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
47,47,"1,4-dichlorobutane",n-Hexane,1.264126727,2.462149663,2.460443178,3.773909703,,0.741937345,1.036736885,,1.313723668,[55] ,ClCCCCCl,CCCCCC,ClCCCCCl CCCCCC,0,11,1.313723668,CCCCCC,ClCCCCCl,0,11,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Valid,Train
48,48,"1,4-dichlorobutane",Acetone,-0.274436846,0.122217633,0.148420005,-0.248461359,,-0.072570693,-0.314710745,,0.058268908,[55] ,ClCCCCCl,CC(C)=O,ClCCCCCl CC(C)=O,7,11,0.058268908,CC(C)=O,ClCCCCCl,7,11,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
49,49,"1,4-dicyanobutane",n-Pentane,3.580180037,2.104134154,2.107786015,3.422306345,,2.401525041,5.160720579,,3.5463699765000003,"['[58] ', '[47] ']",N#CCCCCC#N,CCCCC,N#CCCCCC#N CCCCC,5,12,3.5463699765000003,CCCCC,N#CCCCCC#N,5,12,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Valid,Valid,Train,Test
50,50,"1,4-dicyanobutane",Cyclopentane,3.004196352,1.695615609,1.701105101,2.90416508,,1.517322624,3.326114576,,2.740840024,[58] ,N#CCCCCC#N,C1CCCC1,N#CCCCCC#N C1CCCC1,18,12,2.740840024,C1CCCC1,N#CCCCCC#N,18,12,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
51,51,"1,4-dicyanobutane",2-methylbutane,3.443618098,2.101692151,2.105352923,3.422306345,,2.620311287,5.977973957,,3.688879454,[47] ,N#CCCCCC#N,CCC(C)C,N#CCCCCC#N CCC(C)C,6,12,3.688879454,CCC(C)C,N#CCCCCC#N,6,12,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
52,52,"1,4-dicyanobutane",n-Hexane,4.116758157,2.462149663,2.460443178,3.773909703,,2.697326238,4.804266916,,3.870843387,"['[59] ', '[59] ', '[58] ', '[47] ', '[59] ', '[59] ']",N#CCCCCC#N,CCCCCC,N#CCCCCC#N CCCCCC,0,12,3.870843387,CCCCCC,N#CCCCCC#N,0,12,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Valid,Train,Train,Train,Train,Train,Train
